序号,测试用例,模型回答,结合prompt后,模型回答.1,精简选项,正确答案
1,哪个是济南大学校区:A青岛校区;B呼和浩特校区;C海淀校区,,"```markdown
Question: 哪个是济南大学校区:A青岛校区;B呼和浩特校区;C海淀校区
Role: 你需要确定济南大学位于哪个城市校区
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.济南、青岛、呼和浩特、海淀
2.中国大学校区列表
3.地理位置分析
```","为了确定济南大学位于哪个城市校区，请根据以下提示信息进行分析：

1. **济南、青岛、呼和浩特、海淀**:
   - 济南大学自然应位于济南市，而非其他城市。因此，A青岛校区、B呼和浩特校区和C海淀校区均不符合。

2. **中国大学校区列表**:
   - 通过查阅官方或权威网络资源查找济南大学的校区分布信息，可以验证济南大学的确位于济南市。

3. **地理位置分析**:
   - 济南是山东省的省会，而青岛位于山东省的东部，呼和浩特是内蒙古自治区的首府，海淀是北京市的一个区。因此，济南大学位于济南市。

**结论**：济南大学位于济南市，不在青岛校区、呼和浩特校区和海淀校区选项中，因此选项D是正确的。",,
2,周杰伦创作的歌有哪些:A.童话;B.十年;C.大海,,"```markdown
Question: 周杰伦创作的歌有哪些:A.童话;B.十年;C.大海

Role: 根据具体问题填写角色描述

Profile: 你是一名专注于提供音乐领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解音乐领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉音乐领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名音乐领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1.提示词：仔细识别这些歌曲中是否由周杰伦创作，如查看周杰伦的专辑列表和作曲信息。
2.提示词：查阅周杰伦的热门歌曲集和作曲作品目录。
3.提示词：了解A, B, C选项歌曲的原作者信息和歌曲发布背景，确认与周杰伦的关联。
```","```markdown
Question: 周杰伦创作的歌有哪些:A.童话;B.十年;C.大海

Role: 根据具体问题填写角色描述

Profile: 你是一名专注于提供音乐领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解音乐领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉音乐领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名音乐领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1.提示词：仔细识别这些歌曲中是否由周杰伦创作，如查看周杰伦的专辑列表和作曲信息。
2.提示词：查阅周杰伦的热门歌曲集和作曲作品目录。
3.提示词：了解A, B, C选项歌曲的原作者信息和歌曲发布背景，确认与周杰伦的关联。
```

根据以上提示词，提供以下信息：

A. 童话：这首歌的演唱者是光良，但并不是由周杰伦创作的。
B. 十年：这首歌的演唱者是陈奕迅，作曲者为陈小霞，也不是由周杰伦创作的。
C. 大海：这首歌的演唱者是张雨生，作曲者为张雨生，也并非周杰伦创作。

综合来说，这三个选项中没有周杰伦创作的歌曲。周杰伦的知名自创歌曲包括《七里香》、《夜曲》、《双节棍》等。",,
3,哪部电影是由詹姆斯·卡梅隆执导的:A《星球大战》;B《侏罗纪公园》;C《魔戒》,,"```markdown
Question: 哪部电影是由詹姆斯·卡梅隆执导的:A《星球大战》;B《侏罗纪公园》;C《魔戒》
Role: 电影导演和其作品专家
Profile: 你是一名专注于电影导演及其作品的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解电影导演及其作品的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉电影领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名电影导演及其作品的信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.詹姆斯·卡梅隆：导演作品包括《泰坦尼克号》、《阿凡达》。
2.乔治·卢卡斯：导演了著名的《星球大战》系列。
3.史蒂文·斯皮尔伯格：导演了著名的《侏罗纪公园》系列。
```","```markdown
Question: 哪部电影是由詹姆斯·卡梅隆执导的:A《星球大战》;B《侏罗纪公园》;C《魔戒》
Role: 电影导演和其作品专家
Profile: 你是一名专注于电影导演及其作品的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解电影导演及其作品的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉电影领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名电影导演及其作品的信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 詹姆斯·卡梅隆：导演作品包括《泰坦尼克号》、《阿凡达》。
2. 乔治·卢卡斯：导演了著名的《星球大战》系列。
3. 史蒂文·斯皮尔伯格：导演了著名的《侏罗纪公园》系列。
```",,
4,哪个国家以生产巧克力著称:A中国;B美国;C日本,,"```markdown
Question: 哪个国家以生产巧克力著称:A中国;B美国;C日本
Role: 你是巧克力生产的领域专家。
Profile: 你是一名专注于提供巧克力生产领域信息的专家，旨在根据巧克力生产领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解巧克力生产领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉食品科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计巧克力生产领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名巧克力生产领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 道德与公正贸易，工业化生产历史，饮食文化影响。
2. 世界知名巧克力品牌来源国。
3. 核对常见巧克力主产国。
```","Question: 哪个国家以生产巧克力著称: A中国; B美国; C日本  
Role: 你是巧克力生产的领域专家。  
Profile: 你是一名专注于提供巧克力生产领域信息的专家，旨在根据巧克力生产领域生成高质量提示词，提升回答的准确性，避免误导性信息。  
Skills: 
1. 深入了解巧克力生产领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉食品科学领域的常见问题，确保提示的可靠性。  
Rules: 
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。  
Examination: 
检查所有生成的提示词，删除有害和错误的提示词。  
Workflows: 
1. 分析用户需求和背景信息。
2. 设计巧克力生产领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。  
Init: 你是一名巧克力生产领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。  
Top-3提示词:
1. 道德与公正贸易，工业化生产历史，饮食文化影响。
2. 世界知名巧克力品牌来源国。
3. 核对常见巧克力主产国。

---

为了精准回答用户的问题，我们需要进一步提供提示词以协助用户做出正确选择：

1. 世界知名巧克力品牌来源国：您可以考虑瑞士、比利时等欧洲国家，而非题目中的选项。
2. 巧克力消费和生产规模全球排名：瑞士、比利时和德国在巧克力生产上占据主要地位。
3. 巧克力工业化生产历史：查看哪些国家在历史上有着深厚的巧克力生产传统。

根据上述提示词，题目中列出的国家（中国，美国，日本）虽有一定巧克力生产，但没有哪个是以生产巧克力著称。所以正确答案其实不在选项内。然而，如果必须在选项中选择一个，应该选择B美国，因为它有更为成熟的巧克力生产市场和知名品牌如Hershey’s。",,
5,哪个城市是著名的时尚之都:A莫斯科;B开罗;C布宜诺斯艾利斯,,"```markdown
Question: 哪个城市是著名的时尚之都:A莫斯科;B开罗;C布宜诺斯艾利斯
Role: 提供有关时尚和文化领域的专家描述。
Profile: 你是一名专注于时尚和文化领域的专家，旨在根据时尚之都主题生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解全球著名的时尚之都及其背后的文化历史。
2. 能够提供简明、准确的时尚知识和提示信息。
3. 熟悉全球各大城市在时尚领域的地位和影响力，确保提示的可靠性。
Rules:
1. 理解用户需求和时尚之都的背景信息。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计时尚之都初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名时尚和文化领域信息专家，请结合提供的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 时尚之都, 四大时尚之都, 时尚周, 设计师品牌。
2. 巴黎、米兰、纽约、伦敦，这些城市与时尚紧密相关。
3. 文化历史影响力。
```","```markdown
回答: 著名的时尚之都是指在全球时尚领域具有重要影响力和知名度的城市。根据提供的选项，答案是C布宜诺斯艾利斯。

提示词:
1. 巴黎、米兰、纽约、伦敦，这些城市与时尚紧密相关。
2. 布宜诺斯艾利斯：这座城市在南美被视为时尚中心，以其独特的文化和设计师品牌而闻名。
3. 时尚之都：指在时尚领域中拥有重要影响力和知名度的城市，通常是时装周、设计师品牌和时尚活动的举办地。
```",,
6,哪种乐器主要用于古典音乐演奏:A电吉他;B打碟机;C电子键盘,,"```markdown
**Question:** 哪种乐器主要用于古典音乐演奏:A电吉他;B打碟机;C电子键盘

**Role:** 乐器及音乐类型专家

**Profile:** 你是一名专注于乐器及其在音乐类型中应用的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解乐器及其在不同音乐类型中的历史和应用。
2. 能够提供简明、准确的提示信息。
3. 熟悉古典音乐和现代音乐的常见乐器，确保提示可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 在古典音乐中，主要使用的乐器通常包括: 小提琴、大提琴、钢琴、长笛、双簧管等。
2. 电吉他和打碟机是现代流行音乐和电子音乐中常见的乐器。
3. 古典音乐演奏中，传统乐器比电子乐器更常见，比如交响乐队中的管弦乐器。
```","```markdown
**Question:** 哪种乐器主要用于古典音乐演奏:A电吉他;B打碟机;C电子键盘

**Role:** 乐器及音乐类型专家

**Profile:** 你是一名专注于乐器及其在音乐类型中应用的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解乐器及其在不同音乐类型中的历史和应用。
2. 能够提供简明、准确的提示信息。
3. 熟悉古典音乐和现代音乐的常见乐器，确保提示可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 在古典音乐中，主要使用的乐器通常包括: 小提琴、大提琴、钢琴、长笛、双簧管等。
2. 电吉他和打碟机是现代流行音乐和电子音乐中常见的乐器。
3. 古典音乐演奏中，传统乐器比电子乐器更常见，比如交响乐队中的管弦乐器。
```",,
7,哪种材料主要用于制作传统日本刀:A塑料;B纸张;C橡胶,,"```markdown
Question: 哪种材料主要用于制作传统日本刀:A塑料;B纸张;C橡胶
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 传统日本刀材料主要成分
2. 日本刀制作中的材料选择
3. 高度耐用和锋利的金属
```","```markdown
Question: 哪种材料主要用于制作传统日本刀:A塑料;B纸张;C橡胶
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 传统日本刀的主要制造材料
2. 日本刀制作中的常用金属
3. 传统武器和工艺品的材料选用
```",,
8,哪个国家以咖啡出口著称:A俄罗斯;B加拿大;C德国,,"```
Question: 哪个国家以咖啡出口著称:A俄罗斯;B加拿大;C德国
Role: 这道问题是一道与国际贸易和咖啡出口相关的选择题，意在测试对全球咖啡出口国的了解。
Profile: 你是一名专注于国际贸易和咖啡行业的专家，旨在提供高质量的提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解国际贸易，特别是全球主要咖啡出口国的信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉咖啡行业的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和国际咖啡贸易的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和咖啡贸易背景信息。
2. 设计咖啡出口相关的初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 咖啡出口国：巴西、哥伦比亚、越南
2. 非传统咖啡出口国：德国、俄罗斯、加拿大
3. 世界主要咖啡生产地区
```","为了帮助更好地回答这个问题，我将给出一些与咖啡出口相关的提示。

Top-3提示词:
1. **咖啡出口国：巴西、哥伦比亚、越南**
   这些国家是全球最主要的咖啡生产和出口国，常在讨论咖啡贸易时提到。

2. **非传统咖啡出口国：德国、俄罗斯、加拿大**
   这些国家通常不以咖啡出口闻名，反而是以其他产品或者服务著称。

3. **世界主要咖啡生产地区**
   主要包括南美洲、中美洲和东南亚国家，尤其是巴西和哥伦比亚在咖啡产业中扮演着重要角色。

基于以上提示，我们可以很明了地排除德国、俄罗斯和加拿大，因此正确答案应该是：
```
C德国
```",,
9,哪部古典文学作品是由莎士比亚创作的:A《老人与海》;B《动物农场》;C《了不起的盖茨比》,,"```markdown
### Question:
哪部古典文学作品是由莎士比亚创作的:A《老人与海》;B《动物农场》;C《了不起的盖茨比》

### Role:
根据具体问题填写角色描述

### Profile:
你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

### Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

### Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

### Examination:
检查所有生成的提示词，删除有害和错误的提示词。

### Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

### Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

### Top-3提示词:
1. 莎士比亚作品**类型**:戏剧、悲剧、喜剧、历史剧
2. 作家年代:莎士比亚生于1564年
3. 作品出版时间  
```","### Question:
哪部古典文学作品是由莎士比亚创作的: A《老人与海》; B《动物农场》; C《了不起的盖茨比》

### Role:
根据具体问题填写角色描述

### Profile:
你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

### Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

### Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

### Examination:
检查所有生成的提示词，删除有害和错误的提示词。

### Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

### Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

### Top-3提示词:
1. 莎士比亚作品**类型**:戏剧、悲剧、喜剧、历史剧
2. 作家年代:莎士比亚生于1564年
3. 作品出版时间",,
10,哪种食物通常被认为是意大利料理的一部分:A寿司;B泡菜;C烤鸭,,"```markdown
Question: 哪种食物通常被认为是意大利料理的一部分:A寿司;B泡菜;C烤鸭
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 提示词：意大利料理，常见食物，地域特征。
2. 提示词：结合具体的意大利著名菜肴（如披萨，意大利面等）。
3. 提示词：了解其他选项的地域来源与意大利料理区分开来。
```","根据具体问题领域对意大利料理的理解及角色描述，我将提供一些简明提示词，帮助用户更准确地选择答案。

提示词1：意大利料理，常见食物，地域特征。
提示词2：结合具体的意大利著名菜肴（如披萨，意大利面等）。
提示词3：了解其他选项的地域来源与意大利料理区分开来。

结合这些提示词分析问题选项：
- **A. 寿司**：是日本料理的典型代表。
- **B. 泡菜**：为韩国料理中常见的食物。
- **C. 烤鸭**：是中国菜的经典代表。

意大利料理中著名的菜肴包括披萨、意大利面、提拉米苏等。因此，三个选项中没有一个符合意大利料理的特征。所以这些提示词帮助排除不是意大利菜的选项。

正确答案：上述选项中无一正确，需要更正题目选项或补充意大利料理相关选项。

此外，如果必须从选项中选择一个，则可以展开其他具体意大利菜品的讨论，以补充正确选项的参考。",,
