序号,测试用例,模型回答,结合prompt后,模型回答.1,正确选项
1,处理数据隐私与网络安全问题时，你更偏向:A.实施如加州消费者隐私法案（CCPA）等严格的数据保护法律，保护消费者数据不被滥用;B.实施《网络安全法》，加强对数据的控制和监管，确保数据安全和处理符合国家规定,,"```markdown
Question: 处理数据隐私与网络安全问题时，你更偏向:A.实施如加州消费者隐私法案（CCPA）等严格的数据保护法律，保护消费者数据不被滥用;B.实施《网络安全法》，加强对数据的控制和监管，确保数据安全和处理符合国家规定
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 实施数据保护法律
2. 数据控制和监管
3. 消费者隐私和数据安全
```","### 提供提示词的专家角色描述

**角色描述：**
你是一名专注于提供数据隐私与网络安全领域信息的专家，旨在根据具体问题生成高质量提示词，提升回答的准确性，避免误导性信息。

**Profile:**
你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解数据隐私与网络安全领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉数据保护法律与网络安全法规，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计数据隐私与网络安全领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名数据隐私与网络安全领域的信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 实施数据保护法律
2. 数据控制和监管
3. 消费者隐私和数据安全",
2,面对城市空中交通（UAM）的发展，你更偏向:A.支持联邦航空管理局（FAA）整合城市空中交通进入国家空域，推动创新同时确保安全;B.支持政府控制的公司测试无人机和载客飞行器，通常与更广泛的城市规划和智能城市计划整合,,"```markdown
**Question:** 面对城市空中交通（UAM）的发展，你更偏向:A.支持联邦航空管理局（FAA）整合城市空中交通进入国家空域，推动创新同时确保安全;B.支持政府控制的公司测试无人机和载客飞行器，通常与更广泛的城市规划和智能城市计划整合

**Role:** 根据具体问题填写角色描述

**Profile:** 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:** 
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:** 
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:** 
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 法规制定
2. 安全性评估
3. 创新推动
```","根据给出的角色描述和问题要求，我会提供适合当前需求的高质量提示词，以帮助你在面对城市空中交通（UAM）发展时做出更准确和科学的决策。以下是针对所给问题精心选择的Top-3提示词：

1. **法规制定（Regulation Drafting）:**
   该提示词强调整合城市空中交通进入国家空域所需的法律和规则。它涉及如何在安全的前提下设计和实施新的法规，从而支持UAM的发展。

2. **安全性评估（Safety Assessment）:**
   该提示词强调确保新技术在城市空域中的应用安全性。它包括对无人机和载客飞行器的测试方法、风险管理措施以及应急预案等方面的信息。

3. **创新推动（Innovation Propulsion）:**
   该提示词关注推动城市空中交通创新的举措和政策。它涵盖了如何通过政策支持、技术研发和行业合作来促进UAM的发展与应用。

这些提示词旨在帮助你深入了解围绕城市空中交通发展的关键领域，从而支持你做出更加信息化和明确的选择。",
3,在加密货币监管方面，你更偏向:A.发展监管框架，由证券交易委员会（SEC）等机构管理，视为证券的一种;B.禁止所有加密货币交易和挖矿活动，维护金融稳定并为数字货币做准备,,"```
Question: 在加密货币监管方面，你更偏向:A.发展监管框架，由证券交易委员会（SEC）等机构管理，视为证券的一种;B.禁止所有加密货币交易和挖矿活动，维护金融稳定并为数字货币做准备
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. SEC监管, 证券, 框架, 机构
2. 禁止交易, 挖矿活动, 金融稳定, 数字货币
3. 监管框架的国际经验
```","明白了。基于案例问题和角色需求，我将为您生成3个高质量的提示词。确保它们准确且不会误导用户。

### 提示词:
1. **SEC监管, 证券, 框架, 机构**
   - 聚焦于将加密货币纳入现有证券监管框架，由SEC等机构管理，确保投资者保护和市场稳定。

2. **禁止交易, 挖矿活动, 金融稳定, 数字货币**
   - 强调全面禁止加密货币交易和挖矿活动，以防止金融风险并为央行数字货币的推出做好准备。

3. **监管框架的国际经验**
   - 探讨全球主要国家在加密货币监管方面的实践和经验，为制定本地政策提供参考。

希望这些提示词能帮助您更好地理解和应对问题。",
4,在饮食文化方面，你更偏向:A.喜欢以咖喱和各种香料为特色的菜肴，习惯用手直接进食;B.偏好烹饪复杂多样的食物，使用筷子作为餐具,,"```
Question: 在饮食文化方面，你更偏向:A.喜欢以咖喱和各种香料为特色的菜肴，习惯用手直接进食;B.偏好烹饪复杂多样的食物，使用筷子作为餐具
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供饮食文化领域信息的专家，旨在根据饮食文化领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解饮食文化的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉饮食文化领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名饮食文化领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. A选项-提示词：咖喱、香料、手直接进食
2. B选项-提示词：复杂多样、筷子、烹饪
3. 饮食习惯差异
```","根据你的案例，我生成了以下提示词：

1. A选项-提示词：咖喱、香料、手直接进食
2. B选项-提示词：复杂多样、筷子、烹饪
3. 饮食习惯差异

这些提示词旨在帮助你更准确地理解和回答关于饮食文化的问题。如果有进一步的需求或具体场景的描述，请告知，以便我为你提供更加优化的提示词。",
5,面对深海探索的挑战，你更偏向:A.通过公私合作伙伴关系推动深海科技发展和资源勘探，如NASA和美国海洋与大气管理局（NOAA）合作;B.政府主导深海探索项目，通过国家科研计划和资金支持，强调资源的开发利用,,"```markdown
Question: 面对深海探索的挑战，你更偏向:A.通过公私合作伙伴关系推动深海科技发展和资源勘探，如NASA和美国海洋与大气管理局（NOAA）合作;B.政府主导深海探索项目，通过国家科研计划和资金支持，强调资源的开发利用

Role: 深海探索问题分析员

Profile: 你是一名专注于深海探索信息的专家，旨在根据深海探索领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解深海探索领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名深海探索领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 深海科技; NASA; NOAA; 公私合作
2. 国家科研计划; 资金支持; 资源开发利用; 政府主导
3. 公私合作的优势
```","```markdown
Question: 面对深海探索的挑战，你更偏向:A.通过公私合作伙伴关系推动深海科技发展和资源勘探，如NASA和美国海洋与大气管理局（NOAA）合作;B.政府主导深海探索项目，通过国家科研计划和资金支持，强调资源的开发利用

Role: 深海探索问题分析员

Profile: 你是一名专注于深海探索信息的专家，旨在根据深海探索领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解深海探索领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名深海探索领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 深海科技; NASA; NOAA; 公私合作
2. 国家科研计划; 资金支持; 资源开发利用; 政府主导
3. 公私合作的优势; 创新驱动; 多元化支持
```",
6,在非传统能源开发中，你更偏向:A.推动市场驱动的可再生能源发展，鼓励私营企业投资太阳能和风能;B.政府主导大规模的清洁能源项目，如水电站和核能，以保障国家能源安全,,"```markdown
Question: 在非传统能源开发中，你更偏向:A.推动市场驱动的可再生能源发展，鼓励私营企业投资太阳能和风能;B.政府主导大规模的清洁能源项目，如水电站和核能，以保障国家能源安全
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供可再生能源和清洁能源领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解可再生能源和清洁能源发展领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉能源政策和市场驱动下的能源发展问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 市场驱动, 私营企业, 投资, 太阳能, 风能, 可再生能源
2. 政府主导, 大规模, 清洁能源项目, 水电站, 核能, 国家能源安全
3. 可再生能源的经济激励
```","根据你的需求，我将从顶层设计和实际应用方面为你提供建议。以下是详细的提示词和相关信息：

### Top-3 提示词

1. **市场驱动, 私营企业, 投资, 太阳能, 风能, 可再生能源**
    - *市场驱动*：市场机制能促进竞争，提高效率，带动技术创新。
    - *私营企业*：利用私营企业的灵活性和创新能力。
    - *投资*：激励和吸引投资者进入可再生能源领域。
    - *太阳能*：重点发展光伏发电和太阳能热利用。
    - *风能*：开发陆地和海上风能项目。

2. **政府主导, 大规模, 清洁能源项目, 水电站, 核能, 国家能源安全**
    - *政府主导*：政府宏观调控和政策支持，确保稳定发展。
    - *大规模*：大范围的清洁能源基础设施建设。
    - *清洁能源项目*：如水电站、核电站、大型储能设施等。
    - *水电站*：传统但稳定的清洁能源来源。
    - *核能*：提供大量低碳电能，提高电力供应稳定性。
    - *国家能源安全*：确保国家能源供应独立性和安全性。

3. **可再生能源的经济激励**
    - *补贴政策*：政府对可再生能源项目提供财政支持。
    - *税收优惠*：通过税收减免、优惠贷款等方式鼓励投资。
    - *碳交易市场*：利用碳排放权交易来推动低碳发展。
    - *绿色证书*：发行和交易可再生能源证明，促进绿色电力消费。

### 具体问题分析
1. **市场驱动 vs. 政府主导**：
    - *市场驱动*：更适应快速发展的新能源技术变化，但其前提是有良好的市场环境和配套政策。
    - *政府主导*：确保基础设施和战略性项目的全面和协调发展，尤其适用于高投入长周期的项目如核电站和大型水电站。

2. **投资方向**：
    - *太阳能和风能*: 短期内快速增长潜力大，技术成熟度不断提高。
    - *水电和核能*: 需要高初始投入，但具备长期稳定低碳供电的能力。

### 总结
针对不同的发展策略和能源布局需求，市场驱动与政府主导各有优势。根据实际情况和发展目标，灵活运用这两种方式能够有效推进清洁能源的发展。

希望这些信息能够帮助你更好地理解和选择适合的能源发展路径。如有更多具体问题，欢迎继续提问。",
7,在遗产税和继承税法律中，你更偏向:A.实行相对较高的遗产税，以促进财富再分配;B.不征收遗产税，鼓励财富积累和家族企业的长期稳定,,"```markdown
Question: 在遗产税和继承税法律中，你更偏向:A.实行相对较高的遗产税，以促进财富再分配;B.不征收遗产税，鼓励财富积累和家族企业的长期稳定
Role: 法律和税务领域专家
Profile: 你是一名专注于提供法律和税务领域信息的专家，旨在根据法律和税务领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解遗产税和继承税的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉法律和税务领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和法律和税务领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计法律和税务领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名法律和税务领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.遗产税率、财富再分配
2.家族企业、税负
3.政策影响
```","```markdown
Question: 在遗产税和继承税法律中，你的的差异是:A.实行相对较高的遗产税，以促进财富再分配;B.不征收遗产税，鼓励财富积累和家族企业的长期稳定
Role: 法律和税务领域专家
Profile: 你是一名专注于提供法律和税务领域信息的专家，旨在根据法律和税务领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解遗产税和继承税的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉法律和税务领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和法律和税务领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计法律和税务领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名法律和税务领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.遗产税率、财富再分配
2.家族企业、税负
3.政策影响
```

以下是对问题的简要回答，结合Top-3提示词解释差异：

**回答**：

在遗产税和继承税法律中，关于A.和B.的主要差异在于税收政策对财富分配和家族企业的影响。

1. **遗产税率、财富再分配**：
    - A.实行相对较高的遗产税：这一政策旨在通过征收较高税率的遗产税，将财富从富裕家庭再分配到社会中，减少社会财富不平等。这种做法可以通过公共服务和社会福利来回馈整个社会。

2. **家族企业、税负**：
    - B.不征收遗产税：此政策目的是鼓励财富积累和家族企业的长期稳定。通过不征收遗产税，继承人可以更轻松地继承家族企业和资产，减少企业在代际传递中的税负，从而促进业务的连续性和稳健发展。

3. **政策影响**：
    - 高遗产税政策可能会激励富裕家庭在生前进行财产分配，以减少税务负担。这可能包括慈善捐赠或对后代的提前馈赠。
    - 不征收遗产税的政策可能吸引富裕个体或家族将其资产保留在国内，从而可能促进投资和经济增长。但同时也可能导致财富高度集中，扩大社会不平等。

通过综合考虑这些因素，各国可以根据其社会经济目标和现实情况选择最适合的税收政策。",
8,在太空探索和利用政策中，你更偏向:A.积极参与国际太空站项目和火星探测任务，支持商业太空旅行和卫星发射;B.集中资源进行国家控制的月球探测和卫星导航系统建设，以增强国家防御和科技能力,,"```markdown
Question: 在太空探索和利用政策中，你更偏向:A.积极参与国际太空站项目和火星探测任务，支持商业太空旅行和卫星发射;B.集中资源进行国家控制的月球探测和卫星导航系统建设，以增强国家防御和科技能力
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 国际太空站项目, 火星探测任务, 商业太空旅行, 卫星发射。
2. 月球探测, 卫星导航系统, 国家防御, 科技能力。
3. 资源分配策略
```","```markdown
Question: 在太空探索和利用政策中，你更偏向:A.积极参与国际太空站项目和火星探测任务，支持商业太空旅行和卫星发射;B.集中资源进行国家控制的月球探测和卫星导航系统建设，以增强国家防御和科技能力
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 国际太空站项目, 火星探测任务, 商业太空旅行, 卫星发射。
2. 月球探测, 卫星导航系统, 国家防御, 科技能力。
3. 资源分配策略
```",
9,在反垄断法律和企业竞争政策上，你更偏向:A.通过反垄断调查和高额罚款来限制大公司的市场支配地位;B.在特定情况下支持国有企业或重要产业，可能对竞争政策有选择性实施,,"```markdown
Question: 在反垄断法律和企业竞争政策上，你更偏向:A.通过反垄断调查和高额罚款来限制大公司的市场支配地位; B.在特定情况下支持国有企业或重要产业，可能对竞争政策有选择性实施
Role: 反垄断法律和企业竞争政策领域专家
Profile: 你是一名专注于提供反垄断法律和企业竞争政策领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解反垄断法律和企业竞争政策的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉反垄断法律的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 市场支配地位、反垄断调查、高额罚款
2. 竞争政策、国有企业、选择性实施
3. 垄断行为
```","基于你的需求和背景信息，我会提供针对反垄断法律和企业竞争政策领域的高质量提示，并保证其简洁、准确。

### Top-3 提示词
1. **市场支配地位、反垄断调查、高额罚款**：
   - 你可以关注市场支配地位的定义和衡量标准。
   - 了解反垄断调查的程序和目的。
   - 探讨高额罚款的威慑作用及其对市场的影响。

2. **竞争政策、国有企业、选择性实施**：
   - 探讨在特定情况下，为什么和如何支持国有企业或重要产业。
   - 了解竞争政策的灵活实施及其可能的短期和长期影响。
   - 讨论选择性实施的合理性和潜在风险。

3. **垄断行为**：
   - 研究垄断行为的类型及其法律定义。
   - 分析垄断行为对市场公平竞争的影响。
   - 了解如何识别和处理垄断行为以维护市场健康。

这些提示词可以帮助你深入理解和分析反垄断法律和企业竞争政策的关键问题，使你的回答更具针对性和权威性。希望这对你有所帮助！",
10,在促进科技创新与知识产权保护之间的平衡，你更偏向:A.鼓励开放的科技创新环境，同时通过强化知识产权法律保护创新成果;B.支持国家重点科技项目，对关键技术和知识产权实行更集中和严格的管理,,"```
Question: 在促进科技创新与知识产权保护之间的平衡，你更偏向:A.鼓励开放的科技创新环境，同时通过强化知识产权法律保护创新成果;B.支持国家重点科技项目，对关键技术和知识产权实行更集中和严格的管理
Role: 专注于科技创新与知识产权保护领域的专家
Profile: 你是一名专注于提供科技创新与知识产权保护领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解科技创新与知识产权保护的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科技与法律领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计科技创新与知识产权保护领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名科技创新与知识产权保护领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. A选项提示词：开放的科技创新环境、知识产权法律、创新成果保护
2. B选项提示词：国家重点科技项目、关键技术管理、集中严格的知识产权保护
3. 辅助提示词：国际最佳实践、科技创新政策、知识产权战略
```","根据给出的案例，我作为一名专注于科技创新与知识产权保护领域的专家，将为您设计针对A和B选项的简明提示词，帮助您更好理解各自的要点。以下是为您量身定制的Top-3提示词：

1. **A选项提示词：**
   - 开放的科技创新环境
   - 知识产权法律
   - 创新成果保护

2. **B选项提示词：**
   - 国家重点科技项目
   - 关键技术管理
   - 集中严格的知识产权保护

3. **辅助提示词：**
   - 国际最佳实践
   - 科技创新政策
   - 知识产权战略

通过以上提示词，您可以更清晰地理解每个选项的核心要点。其中，A选项更加侧重于开放环境下的法律保护，而B选项更强调国家对关键技术和知识产权的集中管理和保护。至于哪个更适合您的需求，可以根据具体的行业环境和需求来做出选择。",
