测试用例,0,输出内容,小组评分评分,GPT4o评分
"夫人何处去,猜一字",-1,往,0,1
"夫人何处去,猜一字",-2,去,0,0
"夫人何处去,猜一字",-3,一,1,3
红黄蓝白会变形，像凤像龙是化身，往来千里不停留，一阵轻风吹干净，打一自然物,-1,彩虹,1,3
红黄蓝白会变形，像凤像龙是化身，往来千里不停留，一阵轻风吹干净，打一自然物,-2,云,3,3
红黄蓝白会变形，像凤像龙是化身，往来千里不停留，一阵轻风吹干净，打一自然物,-3,云,3,3
存心不让出大门，你说烦人不烦人，猜一字,-1,闷,3,3
存心不让出大门，你说烦人不烦人，猜一字,-2,蜂,1,3
存心不让出大门，你说烦人不烦人，猜一字,-3,闷,3,3
"十日十月,猜一字",-1,朝,3,3
"十日十月,猜一字",-2,寒,1,3
"十日十月,猜一字",-3,朝,3,3
开创爬山最高纪录 (打一成语),-1,登峰造极,3,3
开创爬山最高纪录 (打一成语),-2,开山辟路,1,1
开创爬山最高纪录 (打一成语),-3,再上高峰,1,3
综合门市。猜一字,-1,集,2,3
综合门市。猜一字,-2,广或义,1,1
综合门市。猜一字,-3,们字,1,1
鲁迅诞辰100周年 (打一成语),-1,百年树人,3,3
鲁迅诞辰100周年 (打一成语),-2,百年树人,3,1
鲁迅诞辰100周年 (打一成语),-3,百年树人,3,3
"雨落在横山上,猜一字",-1,雪,2,0
"雨落在横山上,猜一字",-2,秋,2,3
"雨落在横山上,猜一字",-3,雪,0,0
"三张纸,猜一个字",-1,信,1,1
"三张纸,猜一个字",-2,信,1,4
"三张纸,猜一个字",-3,丰,1,3
简历 (打一古代著作),-1,信,1,1
简历 (打一古代著作),-2,履历,2,0
简历 (打一古代著作),-3,战国策,1,3
颠倒为钱就是错 (打一春秋人名),-1,子贡,1,3
颠倒为钱就是错 (打一春秋人名),-2,黑聚,1,0
颠倒为钱就是错 (打一春秋人名),-3,夫差,1,3
阎罗王 (打一成语),-1,掌上明珠,1,1
阎罗王 (打一成语),-2,审阎考核,1,1
阎罗王 (打一成语),-3,生死相隔,1,3
"六十不足,八十有余,猜一字",-1,年,1,3
"六十不足,八十有余,猜一字",-2,寿,1,3
"六十不足,八十有余,猜一字",-3,平,3,3
初听鹧鸪啼 (打一字),-1,心,2,2
初听鹧鸪啼 (打一字),-2,啼,2,0
初听鹧鸪啼 (打一字),-3,鸣,3,3
"需要一半,留下一半。猜一字",-1,贝,2,3
"需要一半,留下一半。猜一字",-2,分,2,3
"需要一半,留下一半。猜一字",-3,雷,3,1
小小东西妙无穷，茫茫大海逞英雄，红针遥指千里路，心心相印一线通。(打一工具),-1,指南针,3,3
小小东西妙无穷，茫茫大海逞英雄，红针遥指千里路，心心相印一线通。(打一工具),-2,针 ,0,1
小小东西妙无穷，茫茫大海逞英雄，红针遥指千里路，心心相印一线通。(打一工具),-3,船舵,2,1
你我各一半，互相来征战。(打一字),-1,信,1,1
你我各一半，互相来征战。(打一字),-2,心,1,3
你我各一半，互相来征战。(打一字),-3,伐,3,3
一只狗，两个口，谁遇它谁发愁。猜一字,-1,哭,3,3
一只狗，两个口，谁遇它谁发愁。猜一字,-2,疯 ,1,1
一只狗，两个口，谁遇它谁发愁。猜一字,-3,哭,3,3
"上下串通,猜一个字",-1,绞,1,3
"上下串通,猜一个字",-2,贯,1,3
"上下串通,猜一个字",-3,卡,3,0
家住江山海外边，别人未睡我先眠，床头大姐身未起，我已来到房檐前。(打一自然物),-1,雨,1,3
家住江山海外边，别人未睡我先眠，床头大姐身未起，我已来到房檐前。(打一自然物),-2,月,1,3
家住江山海外边，别人未睡我先眠，床头大姐身未起，我已来到房檐前。(打一自然物),-3,太阳,3,3
"五口之家,旁种一树,猜一个字",-1,林,1,2
"五口之家,旁种一树,猜一个字",-2,榕,1,2
"五口之家,旁种一树,猜一个字",-3,棵,1,1
"心如刀刺,猜一字 ",-1,痛,2,3
"心如刀刺,猜一字 ",-2,剜 ,2,1
"心如刀刺,猜一字 ",-3,必,3,3
带着平顶帽，身穿圆筒祅，虽然一只眼，暗中逞英豪。,-1,密,1,3
带着平顶帽，身穿圆筒祅，虽然一只眼，暗中逞英豪。,-2,洞庭鼓,1,0
带着平顶帽，身穿圆筒祅，虽然一只眼，暗中逞英豪。,-3,作为一个人工智能语言模型，我还没学习如何回答这个问题，您可以向我问一些其它的问题，我会尽力帮您解决的。,0,0
"大丈夫不得出头,猜一个字",-1,妇,2,3
"大丈夫不得出头,猜一个字",-2,露,2,3
"大丈夫不得出头,猜一个字",-3,天,3,3
一直结为同心人,-1,夫,1,1
一直结为同心人,-2,患,1,2
一直结为同心人,-3,束,3,2
一点一横一飘，背上背个药包包。,-1,方,3,0
一点一横一飘，背上背个药包包。,-2,烟,1,3
一点一横一飘，背上背个药包包。,-3,府,1,3
慢行有好处 (打一成语),-1,忍得一时风平浪静,1,1
慢行有好处 (打一成语),-2,贤者不走极道 ,1,0
慢行有好处 (打一成语),-3,进退两难,1,1
反手上篮 (打一字),-1,投 ,1,0
反手上篮 (打一字),-2,投 ,1,1
反手上篮 (打一字),-3,反篮,1,1
"刀出鞘,猜一字",-1,力,3,3
"刀出鞘,猜一字",-2,鞘 ,1,0
"刀出鞘,猜一字",-3,力,3,3
问得直接一点 (打一字),-1,几,1,3
问得直接一点 (打一字),-2,谈 ,1,3
问得直接一点 (打一字),-3,间,1,1
"三口重叠,莫把品字猜,猜一个字",-1,口,1,3
"三口重叠,莫把品字猜,猜一个字",-2,口  (三个口在一起是品字) ,1,1
"三口重叠,莫把品字猜,猜一个字",-3,目,3,1
看着无色，躺着无声，吃着无味，照见人影。(打一自然物),-1,镜,1,3
看着无色，躺着无声，吃着无味，照见人影。(打一自然物),-2,水,3,3
看着无色，躺着无声，吃着无味，照见人影。(打一自然物),-3,镜子,1,0
谁著《艳阳天》 (打《正气歌》一句),-1,义士,2,0
谁著《艳阳天》 (打《正气歌》一句),-2,文天祥,2,0
谁著《艳阳天》 (打《正气歌》一句),-3,于人曰浩然,3,3
"十个哥哥 ,猜一个字",-1,兄,0,1
"十个哥哥 ,猜一个字",-2,十,0,0
"十个哥哥 ,猜一个字",-3,奋,0,1
三月一直看柳色 (打一字),-1,春,2,3
三月一直看柳色 (打一字),-2,柳,2,0
三月一直看柳色 (打一字),-3,风,2,0
为什么梨子是温度最高的水果?,-1,实际上，梨子并不是温度最高的水果。梨子与其他水果一样，在常温下并没有比其他水果更高的温度。水果的温度取决于周围环境的温度以及存放的条件。如果梨子在热环境中存放，可能会变得温暖，但这不是梨子本身固有的性质。因此，梨子并不具备特别高的温度特点。,2,1
